sentence	sentence_id	locale	reason
گالیشیائی	0b6395a256d4a6347ee0febfda766392657daa9930a2c9b347d4349b2c6ecad7	ur	difficult-pronounce
پولیس حکام کا مطابق	01f90c23c5b393f069f3e5eb6d02dc371c5d07312575e8469147c823848b8d59	ur	grammar-or-spelling
اب صورتحال یہ ہے کہ نواز شریف گئے تو ایک اور سٹیٹس کو کا	03ebdbe96f18065ff19e80119890bb01f4026dcea6d94a588ad0f17c1b5e3c39	ur	grammar-or-spelling
سب کو ایک ہی تن میں انڈہ کر پھینٹ شروع کرد	2a5e885bb4a4d96e5b9f4f6e07328080b58fe9b2738a3289823b2ced2b0e927c	ur	grammar-or-spelling
یہ قوم بہت جاہل ھے	09a8cff9ba1a8cb84fc967d0ce3bd5336f7392863ee9aa9ef715082080da7752	ur	offensive-language
لہ تعال نے ہر چیز انسان کی خاطر پیدا کی ہے	474869bb92dc3cbe4273b5f89b22e47adbaa0e3a35da72fc8279ebe3a19a20e0	ur	grammar-or-spelling
فرانس فٹبال کا ورلڈ چیمپئنایمباپے اور گریزمین کا اہم کردار	435f4a77f7d81384b928c5747aafcbe3401049c41b1b99012ec25fa64b91c994	ur	difficult-pronounce
مائیکروسافٹ کارپوریشن نے کہنا ہونا کہ وُہ اپنا تازہ ترین کنسول کو نومبر میں کِسی وقت فروخت کا لینا پیش کرنا گانا	2a205b7cd500c425979476437cb42104af1ccf3df5b170a9d8164b683b03e66e	ur	grammar-or-spelling
اور وقت تھما ہوا دکھائی د لگ ہے اور چندہ ثانیہ گھنٹہ پر بھار پڑ ج ہیں	203f9e3d8f445b5ea1f0514177ff4b706a808ef185494be29c662736e9ea12a2	ur	grammar-or-spelling
اگر کسی کا جانی نقصان ہوتا ہے تو پورا نہیں کی جا سکتی	1f302b5a9a95262553c4b8593ce8217eec803bc9491fe59889fbb28e94fa1230	ur	grammar-or-spelling
بوسٹنویب ڈیسک ہمارے دماغ کا ہر خلیہ ایک پورےبگ کمپیوٹر کی طرح کام کرتا ہے	37e7dbfd7112246f0236d1f2f1bb59b0e12840c596fc4b7072d7f0e40f061c2e	ur	difficult-pronounce
وہ خواہی نخواہی، سیاست کا موضوع ہیں۔	4b0fc976aba860b5b7241ffd9b7780d07e2dbe60a23def7ad5c5077ecd511f15	ur	grammar-or-spelling
بمبارا	1f50522db74b1fbaab436577cf67dc0549846bcd7fec0fd158a9d3fca250e5a5	ur	grammar-or-spelling
مکمل رپورٹ اس لنک پر پڑھی جا سکہ ہے	484a2dc5a1a3182a068cc4b931236e7aa8b158f185fd32b1b9ba8acf693833e3	ur	grammar-or-spelling
کھجیندرا تھاپا مگر کے والد کا کہنا تھا	303e18f3e48f9508d26efa3901c0755b0e447d40911678dfbfea0bde9d8d6e63	ur	grammar-or-spelling
کھجیندرا تھاپا مگر کے والد کا کہنا تھا	303e18f3e48f9508d26efa3901c0755b0e447d40911678dfbfea0bde9d8d6e63	ur	difficult-pronounce
مزاحیہ چِیز ضارب کہتا ہے یہ دونوں امید‌وار رڈلف گیلانی کہلاتے ہیں	3cc470ce5503e1d790eec0207ac89c6bcb2aac880aadd4245358f2a9de6c9063	ur	difficult-pronounce
فنی خوبیوں کا مرقع کہا جاتا ہے	355c7d4ae69b4210cff6fed3a869073e40600d4080f7654c23061578a1deeb70	ur	difficult-pronounce
اکتوبر کو موجودہ ونڈوز صارفین کو یہ اپڈیٹ مفت فراہم کر دیا جائے گا	49d857dfbdef00b39d258129094b4d6f3effa30580e6138e939342a4090add45	ur	grammar-or-spelling
ہیرڈ جزیرہ و میکڈولینڈ جزائر	196f5ea856af6991a104c253863664c526c9a65fd42ff46c4f40243b5c501273	ur	difficult-pronounce
فون بک کی چھٹنی کی ترتیب	4bf2e7bc51929de3f0acf94f297d5be82abdb6a8b14f8f137b9ffa4ed4773edf	ur	difficult-pronounce
ایمیزون کی ایک چ	4789189c2717cc5fce766d0fee71d8cf3333f58350be5089e4ce152aa6ae16de	ur	The last word is incomplete its just a letter written. 

اگر کسی کا جانی نقصان ہوتا ہے تو پورا نہیں کی جا سکتی	1f302b5a9a95262553c4b8593ce8217eec803bc9491fe59889fbb28e94fa1230	ur	grammar-or-spelling
ٹیم میں صرف مہارت کرنا کمی ہونا ۔	486f36054dfdee7f01d4c458035ec86b43d577268023bfaa165fc2c2e20258b4	ur	grammar-or-spelling
اور وقت تھما ہوا دکھائی د لگ ہے اور چندہ ثانیہ گھنٹہ پر بھار پڑ ج ہیں	203f9e3d8f445b5ea1f0514177ff4b706a808ef185494be29c662736e9ea12a2	ur	grammar-or-spelling
جو یَہاں کا جنگلات کےحسن کو چار چاند لگنا دینا ہونا	5f2e00757e06ff42de722f8144b84c655b40f3335b1611f411453c9124218dc1	ur	grammar-or-spelling
ھر یہ سوچتا شاید ان کو ابھی تک کوئی کام	5ffa17293c3a2de1d0fcbe4d12f56f0eeed71a731e6dedf260f822ff6e034f79	ur	grammar-or-spelling
ہت سے مزدور ہلاک اور زخمی کر دے	606dd4ad62cbe9005a5e8c977a3fd2974928e99be6e8d0cd37708964e85e68b6	ur	grammar-or-spelling
ان کی ججی برقرار ہے۔	6328ae70a8af4e8a26094a288bd0c2714b110b707a7e2bd8f6d33b95074c3034	ur	difficult-pronounce
پرانا شوق پورا کیا کتابی دیکھیں کچھ نئی کچھ وہی پرانی	5ed0dca37f9d107d765745b6c366ec1ed74af53ffe1b1aed64f31e241b68cd2e	ur	grammar-or-spelling
تو مغربی دنیا میں۔	6095184e2e63e91b94f6f94dad93446dc3161452a87a3658306acb0ceb60638c	ur	grammar-or-spelling
لیکن جیس جیس دوڑ گ ، چلتے گ ویس ویس ت دھ گئی	5b484a1ff8a6d29d810b1ee3948dc428c79d1f5e9e6c9dafe6bd8232900b9f90	ur	grammar-or-spelling
لیکن جیس جیس دوڑ گ ، چلتے گ ویس ویس ت دھ گئی	5b484a1ff8a6d29d810b1ee3948dc428c79d1f5e9e6c9dafe6bd8232900b9f90	ur	grammar-or-spelling
اس ان بیٹری کے گز بیک گراؤنڈ میں چلتے ر گے اور ضروری ڈیٹا اکھٹا کر ر گے	778017dee866a25beb73c40e8575cfb160623011c7521b12977dfb127faa875c	ur	grammar-or-spelling
ان کے پاس زیادہ سے زیادہ زمین آجائے	3afa3265618d168059cd61f4ebc27dc021a75a94f372a442ba92c085385736e4	ur	difficult-pronounce
مگر حیرت کی بات کہ قرآن شریف کو سب سے اوپر رکھا گیا ، گویا سب سےمقدس صحیفہ یہی ہے	076ee91343dbd44de3b9ee682cc0902bed1a85b8e84b8fcb990cf93ec353c254	ur	offensive-language
باکسرمحمد علی کی تدفین پندرہ ہزار ٹکٹ تقسیم	4e3103b0ac7b7c7d106db2f2abfbcd21df7d237d816a7421bb2f16dc03c367f9	ur	difficult-pronounce
مر کیا نا کر کے مصداق صبح ہ اندھیر اٹھ اور بعد نماز فجر گیرز کس کر ایک گھنٹہ تاخیر سے میدان میں پہنچ گ	651dc5901597d1927111782fae661952ab14a46b8820b2e68dc595a6daa29f11	ur	grammar-or-spelling
چترال میں موسم بہار کا شروع ہونا ہی مختلف پرندہ نمودار ہونا ہونا	545e071505f1c895b65d286c7ec64136459bf3f118f2be52ce33de53bf7333cd	ur	grammar-or-spelling
برطانیہ دو مرکزی اشاریہ ہُنڈی آلات رکھتا ہے	72da262c225a66bbb20d200a1cbb5f73660f366d1776f2947dd419cfaa4189c6	ur	grammar-or-spelling
لن کے خلاف کرا ٹیسٹ میں بنائی تھی	daa95c86a510fc290430b1a85b6e512263b580551e0a2a3ff6f601954b341467	ur	offensive-language
چند موقع پرستوں کا معاملہ دوسرا ہے۔	bcf44213afc66e86a1fb3a07b77057687f7cf3556500ed36a2fb9079e54dd2e6	ur	grammar-or-spelling
سوات کرنا ریاست نے پاکستان کا ساتھ الحاق کرنا ہونا	be3dc576978e2524b4bd8854d21952d77995bad3c0d59162c27dd5a93caec3f3	ur	grammar-or-spelling
